Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Augmented Reality Meets Computer Vision: Efficient Data Generation for Urban Driving Scenes","International Journal of Computer Vision","","","","10.1007/s11263-018-1070-x","Hassan Abu AlhaijaSiva Karthik MustikovelaLars MeschederAndreas GeigerCarsten Rother","2018","http://link.springer.com/article/10.1007/s11263-018-1070-x","Article"
"Summarization of Texts Found on the World Wide Web","Knowledge-Based Information Retrieval and Filtering from the Web","","","","10.1007/978-1-4757-3739-4_5","Marie-Francine MoensRoxana AnghelutaRik De Busser","2003","http://link.springer.com/chapter/10.1007/978-1-4757-3739-4_5","Chapter"
"Personalized retrieval of sports video based on multi-modal analysis and user preference acquisition","Multimedia Tools and Applications","","44","2","10.1007/s11042-009-0291-y","Yi-Fan ZhangChangsheng XuXiaoyu ZhangHanqing Lu","2009","http://link.springer.com/article/10.1007/s11042-009-0291-y","Article"
"Learning, goals, and learning goals: A perspective on goal-driven learning","Artificial Intelligence Review","","9","6","10.1007/BF00849065","David B. LeakeAshwin Ram","1995","http://link.springer.com/article/10.1007/BF00849065","Article"
"Adaptive Navigation of Visually Impaired Users in a Virtual Environment on the World Wide Web","Universal Access Theoretical Perspectives, Practice, and Experience","","","","10.1007/3-540-36572-9_5","Vladislav NemecZdenek MikovecPavel Slavik","2003","http://link.springer.com/chapter/10.1007/3-540-36572-9_5","Chapter"
"Meta-interpretive learning of higher-order dyadic datalog: predicate invention revisited","Machine Learning","","100","1","10.1007/s10994-014-5471-y","Stephen H. MuggletonDianhuan LinAlireza Tamaddoni-Nezhad","2015","http://link.springer.com/article/10.1007/s10994-014-5471-y","Article"
"Motion analysis for event detection and tracking with a mobile omnidirectional camera","Multimedia Systems","","10","2","10.1007/s00530-004-0146-3","Tarak GandhiMohan M. Trivedi","2004","http://link.springer.com/article/10.1007/s00530-004-0146-3","Article"
"2D Histogram-based player localization in broadcast volleyball videos","Multimedia Systems","","22","3","10.1007/s00530-015-0463-8","Chun-Chieh HsuHua-Tsung ChenChien-Li ChouSuh-Yin Lee","2016","http://link.springer.com/article/10.1007/s00530-015-0463-8","Article"
"Printed Arabic character recognition using HMM","Journal of Computer Science and Technology","","19","4","10.1007/BF02944755","Abbas H. HassinXiang-Long TangJia-Feng LiuWei Zhao","2004","http://link.springer.com/article/10.1007/BF02944755","Article"
"Human Factors in Web Adaptation and Personalization","Human-Centred Web Adaptation and Personalization","","","","10.1007/978-3-319-28050-9_2","Panagiotis GermanakosMarios Belk","2016","http://link.springer.com/chapter/10.1007/978-3-319-28050-9_2","Chapter"
"Identifying Join Candidates in the Cairo Genizah","International Journal of Computer Vision","","94","1","10.1007/s11263-010-0389-8","Lior WolfRotem LittmanNaama MayerTanya GermanNachum DershowitzRoni ShwekaYaacov Choueka","2011","http://link.springer.com/article/10.1007/s11263-010-0389-8","Article"
"Indexing Multidimensional Time-Series","The VLDB Journal","","15","1","10.1007/s00778-004-0144-2","Michail VlachosMarios HadjieleftheriouDimitrios GunopulosEamonn Keogh","2006","http://link.springer.com/article/10.1007/s00778-004-0144-2","Article"
